Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,Side Stream
"Wild plum, fruit flesh, raw",74.3,0.9,0.6,21.5,,,2.0,0.7,
"Fluted milkwood, fruit flesh, raw",58.2,2.7,3.5,32.0,,,1.9,1.1,
"Milk-pear, fruit flesh, raw",75.4,2.6,1.7,17.0,,,1.9,1.4,
"Forest milkberry, fruit flesh, raw",71.0,2.1,1.9,21.6,,,2.1,1.3,
"Coastal Red Milkwood, fruit flesh, raw",69.7,0.8,0.6,25.7,,,1.9,1.3,
"Bush red-milkwood, fruit flesh, fruit, raw",70.2,1.9,0.3,22.9,,,3.0,1.7,
"Red milkwood, fruit flesh, raw",66.4,1.2,0.6,26.3,,,3.9,1.6,
"Masethole or White Milkwood, fruit flesh, raw",70.2,4.3,4.4,17.3,,,1.5,2.3,
"Cape gooseberry/ Inca berry/ Aztec berry/ golden berry/ giant ground cherry/ Peruvian groundcherry/ Peruvian cherry, whole fruit, raw",77.9,2.3,0.9,13.9,,,3.6,1.4,
"Brandy bush/ Velvet raisin, fruit flesh and skin, raw",74.7,2.1,0.1,20.0,,,2.0,1.0,
"Fruit flesh and skin, raw",69.6,2.4,0.6,23.5,,,1.8,2.1,
"Mallow raisin/ Mallow-leaved cross-berry, fruit flesh and skin, raw",70.0,3.3,0.2,22.6,,,1.9,2.0,
"Pigeon Wood/ Tree Peach, fruit flesh, raw",74.1,4.5,0.5,21.3,,,1.8,2.3,
"Small lantana, whole fruit, raw",66.8,2.9,3.4,19.6,,,3.8,3.5,
"Chocolate berry, fruit flesh, dried, raw",13.2,3.2,0.7,72.2,,,5.2,5.5,
"Fruit flesh, raw",72.0,1.1,0.3,22.4,,,2.8,1.4,
"Fruit flesh, raw",96.1,0.4,0.1,2.6,,,0.6,0.2,
"Fruit flesh, raw",90.4,0.4,0.2,7.4,,,0.7,0.9,
"Fruit flesh, raw",92.0,0.5,0.1,5.5,,,0.9,1.0,
"Baobab, fruit flesh, raw",81.5,0.9,0.1,13.8,,,2.0,1.7,
"Pods, raw",83.7,1.9,1.3,6.3,,,5.1,1.7,
"Pods, Microloma saggitum, raw",74.3,4.3,0.5,15.6,,,3.3,2.0,
"Pods, Orbea namaquensis, raw",87.4,1.3,0.5,6.7,,,3.3,0.8,
"Kuni-bush, whole berries with milk, raw",65.1,2.7,2.9,21.3,,,6.8,1.2,
"Senegal Date Palm, fruit flesh, raw",36.1,3.2,0.7,46.3,,,9.8,3.9,
"Date palm, Naghal, immature green, fresh, raw",80.1,1.1,0.1,,5.1,,,0.8,
"Date palm, Naghal, mature full coloured, fresh, raw",54.5,1.6,0.1,,30.6,,,1.0,
"Date palm, Naghal, soft brown, fresh, raw",44.1,2.0,0.2,,44.2,,,1.2,
"Date palm, Naghal, hard raisin-like stage, fresh, raw",9.2,2.7,0.2,,44.3,,,1.9,
"Date palm, Buchibal, immature green, fresh, raw",83.7,1.0,0.1,,5.1,,,0.7,
"Date palm, Buchibal, mature full coloured, fresh, raw",76.5,0.9,0.1,,18.8,,,0.5,
"Date palm, Buchibal, soft brown, fresh, raw",35.9,2.1,0.1,,49.0,,,1.1,
"Date palm, Buchibal, hard raisin-like stage, fresh, raw",18.0,2.2,0.2,,55.1,,,1.5,
"Date palm, Khunaizy, immature green, fresh, raw",84.2,1.1,0.1,,6.4,,,0.7,
"Date palm, Khunaizy, mature full coloured, fresh, raw",66.5,1.1,0.1,,23.4,,,0.8,
"Date palm, Khunaizy, soft brown, fresh, raw",37.9,1.9,0.1,,46.2,,,1.2,
"Date palm, Khunaizy, hard raisin-like stage, fresh, raw",25.1,3.0,0.1,,53.9,,,1.4,
"Date palm, Khulas, immature green, fresh, raw",83.7,0.8,0.1,,7.0,,,0.7,
"Date palm, Khulas, mature full coloured, fresh, raw",58.9,1.1,0.1,,31.9,,,0.9,
"Date palm, Khulas, soft brown, fresh, raw",41.3,1.1,0.1,,46.1,,,1.0,
"Date palm, Khulas, hard raisin-like stage, fresh, raw",22.3,2.1,0.1,,57.0,,,1.4,
"Date palm, Gush, immature green, fresh, raw",85.1,0.7,0.1,,5.3,,,0.6,
"Date palm, Rabei, mature full coloured, fresh, raw",64.1,1.0,0.1,,24.9,,,1.0,
"Date palm, Rabei, soft brown, fresh, raw",44.7,1.4,0.1,,48.1,,,1.1,
"Date palm, Rabei, hard raisin-like stage, fresh, raw",25.5,2.0,0.2,,49.9,,,1.6,
"Date palm, Hilali, immature green, fresh, raw",84.6,0.9,0.1,,3.4,,,0.7,
"Date palm, Ahmr, mature full coloured, fresh, raw",74.0,0.9,0.0,,23.0,,,0.6,
"Date palm, Ahmr, soft brown, fresh, raw",45.8,1.5,0.1,,43.6,,,1.0,
"Date palm, Ahmr, hard raisin-like stage, fresh, raw",31.1,2.2,0.1,,64.1,,,1.6,
"Date palm, Bahri, immature green, fresh, raw",83.2,1.1,0.1,,7.7,,,0.8,
"Date palm, Bahri, mature full coloured, fresh, raw",62.6,0.4,0.1,,31.1,,,0.9,
"Date palm, Bahri, soft brown, fresh, raw",39.7,1.8,0.2,,40.8,,,1.1,
"Date palm, Bahri, hard raisin-like stage, fresh, raw",29.5,2.3,0.1,,57.2,,,1.5,
"Date palm, Lulu, immature green, fresh, raw",81.7,1.3,0.1,,7.6,,,0.8,
"Date palm, Lulu, mature full coloured, fresh, raw",62.2,1.1,0.1,,29.7,,,0.7,
"Date palm, Lulu, soft brown, fresh, raw",45.2,1.6,0.2,,43.9,,,1.0,
"Date palm, Lulu, hard raisin-like stage, fresh, raw",21.3,2.4,0.2,,57.7,,,1.3,
"Date palm, Fard, immature green, fresh, raw",82.7,0.9,0.1,,5.6,,,0.8,
"Date palm, Fard, mature full coloured, fresh, raw",72.1,1.0,0.0,,27.1,,,1.0,
"Date palm, Fard, soft brown, fresh, raw",37.6,1.5,0.2,,50.1,,,1.3,
"Date palm, Fard, hard raisin-like stage, fresh, raw",27.7,2.1,0.1,,59.5,,,1.8,
"Date palm, Naghal, immature green, fresh, raw",85.5,0.8,0.1,,7.0,,,0.6,
"Date palm, Hilali, mature full coloured, fresh, raw",57.0,1.3,0.1,,31.8,,,1.0,
"Date palm, Hilali, soft brown, fresh, raw",48.9,1.2,0.1,,44.8,,,0.8,
"Baobab fruit, seed, raw",4.3,18.4,12.2,,,,16.2,3.8,
"Baobab fruit, fruit pulp, raw",10.4,3.2,0.3,,,,5.4,4.5,
"Date, Fard, green, immature, raw",83.56,0.88,,,5.08,10.29,,0.65,
"Date, Fard, green, immature, raw",83.59,1.07,,,7.36,7.38,,0.62,
"Date, Fard, orange, raw",82.3,0.95,,,8.19,7.92,,0.66,
"Date, Fard, orange, immature, raw",78.39,0.86,,,11.58,8.45,,0.75,
"Date, Fard, orange, immature, raw",73.78,1.06,,,17.51,6.87,,0.78,
"Date, Fard, red/brown, immature, raw",64.58,1.37,,,25.16,7.8,,1.08,
"Date, Fard, red/brown, immature, raw",66.68,1.14,,,22.32,8.86,,1.01,
"Date, Fard, red/brown, immature, raw",55.78,1.34,,,33.07,8.62,,1.18,
"Date, Fard, brown, immature, raw",39.43,1.82,,,45.44,11.82,,1.5,
"Date, Fard, brown, mature, raw",20.72,2.29,,,62.89,12.28,,1.81,
"Date, Fard, brown, mature, raw",21.53,2.23,,,64.03,10.18,,0.24,
"Date, Khalas, green, immature, raw",82.34,1.03,,,6.6,9.5,,0.53,
"Date, Khalas, green, immature, raw",85.55,0.9,,,7.41,5.74,,0.39,
"Date, Khalas, green, immature, raw",83.12,0.88,,,9.45,6.08,,0.48,
"Date, Khalas, green, immature, raw",76.47,0.99,,,16.92,5.14,,0.48,
"Date, Khalas, yellow, immature, raw",71.3,1.07,,,21.25,5.79,,0.59,
"Date, Khalas, yellow, immature, raw",69.73,0.89,,,20.2,8.61,,0.57,
"Date, Khalas, yellow/brown, immature, raw",51.73,1.23,,,37.93,8.28,,0.82,
"Date, Khalas, yellow/brown, immature, raw",55.21,1.05,,,35.82,7.13,,0.78,
"Date, Khalas, brown, immature, raw",45.05,1.25,,,43.87,8.87,,0.97,
"Date, Khalas, brown, mature, raw",21.23,1.73,,,66.48,9.4,,1.17,
"Date, Khalas, brown, mature, raw",18.12,1.72,,,67.97,10.91,,1.29,
"Pitanga cherry, pulp with water (pulp:water 4:1), raw, juice",85.43,,0.55,,8.76,,0.55,1.0,
"Hog plum, pulp, raw",81.5,1.2,,14.1,,,1.1,0.6,
"Baobab fruit /Moneky bread, pulp, ripe, raw ",13.2,2.6908,3.7,68.9192,,,7.2044,4.34,
"Black plum/Water-berry, pulp, ripe, raw",80.2,2.0,0.8,9.6,,,6.0,1.4058,
"Tamarind, pulp, ripe, raw",26.9,2.9971,1.1696,62.135,,,4.3129,2.4854,
"Wild loquat, pulp, ripe, raw",72.6,0.4932,0.3014,23.7,,,2.3,0.6028,
"Chocolate berry/ Black plum, pulp, ripe, raw",73.0,0.702,0.189,23.409,,,1.404,1.296,
"Jujube/Ber fruit, pulp, ripe, raw",85.2,0.6068,1.406,10.804,,,0.5032,1.4948,
"African custard apple/wild soursop, pulp, ripe,raw",70.2,4.4998,2.5032,16.0026,,,5.3044,1.49,
"African chewing gum/snot apple, pulp, ripe,raw",47.2,6.336,0.5808,18.5856,,,23.9184,3.3264,
"Batoko plum, pulp, ripe, raw",80.8,0.81,0.69,15.5,,,1.1,1.1,
"Mobola plum, pulp, ripe, raw",72.9,0.813,0.4065,23.9022,,,1.4905,0.4878,
"Monkey orange/wild orange,  pulp, ripe, raw",78.2,2.507,1.308,13.298,,,3.9022,0.8066,
"Spiny Monkey-orange/green monkey orange, pulp, ripe, raw",77.9,1.1934,6.8952,9.3041,,,3.8896,0.9061,
"Natal Mahogany, pulp, ripe, raw",41.9,9.877,13.3049,27.5975,,,4.7061,2.6145,
"Wild medlar, pulp, ripe, raw",73.5,1.5105,0.689,20.6965,,,2.703,0.901,
"Sourplum, pulp, ripe, raw",82.8,1.3,0.894,13.55,,,0.395,1.89,
"Jujube/chinese apple, raw",95.4,0.11132,,3.03738,,,,0.16238,
"Fig/sycamore fig/fig-mulberry, raw",87.47,0.93975,0.888377,5.196191,,,,1.150254,
"Fruit `Gardenia aqualla`, raw",92.86,0.375564,0.152796,4.094076,,,,0.358428,
"Fruit ´Lannea schimperi`, raw",94.42,0.433008,0.042408,2.44404,,,,0.236034,
"Mobola plum, fruit, raw",92.72,0.525616,0.111384,2.058056,,,,0.307216,
"African locust bean, fruit,  raw",91.0,0.4581,0.1845,6.4935,,,,0.4302,
"Spiny Monkey-orange/green monkey orange, fruit, raw",89.23,1.26009,0.208938,6.442614,,,,0.277866,
"Spiny-plum/seaside-plum/wild-lime/tallowwood/wild-olive, fruit, raw",95.75,0.646425,1.199775,1.05825,,,,0.175525,
"Jujube/chinese apple, raw",95.4,0.1,0.1,3.03692,,,,0.2,
"Baobab fruit /Moneky bread, pulp, raw",10.4,3.2,,76.2,,,5.4,4.5,
"Baobab fruit /Moneky bread, pulp, raw",6.7,2.43,0.1866,,21.6456,,5.3181,4.9449,
"Baobab fruit /Moneky bread, pulp, raw",4.7,2.38,,,33.9,42.9803,,4.8603,
"Wild mango/African mango/Bush mango, fruit flesh, mature, green, unripe, raw  (peel colour: olive green),flesh= blend of peel and pulp",76.93,1.51,1.834065,,,,3.179046,0.768231,
"Wild mango/African mango/Bush mango, fruit flesh, ripe, raw (laboratory ripened),flesh= blend of peel and pulp",73.0,1.7766,2.1816,,,,3.6801,0.891,
"Wild mango/African mango/Bush mango, fruit flesh, ripe, raw (bought ripe at Dugbe market),flesh= blend of peel and pulp",72.8,1.8088,2.244,,,,3.68016,0.8704,
"Wild mango/African mango/Bush mango, fruit flesh, ripe, raw (bought ripe at Fiditi market) ,flesh= blend of peel and pulp",73.18,1.780848,2.17242,,,,3.59388,0.893106,
"Wild mango/African mango/Bush mango, fruit flesh, mature, green, unripe, raw (peel colour: olive green),flesh= blend of peel and pulp",76.4,1.6166,1.88328,,,,3.64148,0.76228,
"Wild mango/African mango/Bush mango, fruit flesh, ripe, raw (laboratory ripened),flesh= blend of peel and pulp",73.2,1.77684,2.13864,,,,4.1272,0.871,
"Wild mango/African mango/Bush mango, fruit flesh, ripe  raw (bought ripe at Dugbe market),flesh= blend of peel and pulp",72.55,1.83366,2.2509,,,,4.2822,0.90585,
"Wild mango/African mango/Bush mango, fruit flesh, ripe, raw (bought ripe at Fiditi market) ,flesh= blend of peel and pulp",72.55,1.8117,0.85095,,,,4.25475,0.919575,
"Tamarind, fruit, ripe, raw",41.29,2.38,1.08,,,,7.72,2.28,
"African starapple, peel, raw",58.9,2.5071,5.0964,25.6464,,,5.9595,1.8906,
"African starapple, pulp, raw",67.5,2.86,4.9075,22.3275,,,1.3,1.105,
"Macaúba, raw",34.32,2.76,,35.06,,11.14,,1.78,
"Mangaba, raw",82.42,1.2,,10.02,,3.4,,0.58,
"Pitomba, raw",83.16,1.15,,12.51,,2.4,,0.61,
"Araça-boi, pulp, raw",96.0,0.476,,,1.968,1.56,,0.16,
"Bacuri, pulp, raw",78.9,1.3504,2.848499999999999,,10.4867,5.865799999999998,,0.4219999999999999,
"Cupuaçu, pulp, raw",87.9,1.0648,1.536699999999999,,5.929,1.730299999999999,,0.6412999999999996,
"Large sourplum, raw",61.2,,9.1568,15.2872,,,,1.94,
"Apple, summar apple, Daqiuguo, ripe, raw",83.2,0.5,0.3,13.9,,,,0.2,
"Apple, bright China apple, Fuguo, ripe, raw",87.3,0.5,0.1,10.6,,,,0.3,
"Apple, bright China apple, Guoguang, ripe, raw（average）",85.9,0.3,0.2,11.7,,,,0.2,
"Apple, bright China apple, Guoguang, ripe, raw",87.1,0.3,,11.8,,,,0.1,
"Apple, bright China apple, Guoguang, ripe, raw",84.4,0.2,0.6,13.9,,,,0.2,
"Apple, bright China apple, Guoguang, ripe, raw",83.8,0.1,0.2,10.7,,,,0.3,
"Apple, bright China apple, Guoguang, ripe, raw",86.8,0.3,0.2,10.4,,,,0.3,
"Apple, bright China apple, Guoguang, ripe, raw",86.5,0.5,0.2,11.5,,,,0.1,
"Apple, bright China apple, Guoguang, ripe, raw",86.3,0.6,0.2,11.8,,,,0.1,
"Apple, bright China apple, Guoguang, ripe, raw",86.7,0.3,0.1,11.9,,,,0.1,
"Apple, Fuji, red, ripe, raw",86.9,0.7,0.4,9.6,,,,0.3,
"Apple, red marshal apple, Yuanshuai, red, ripe, raw（average）",86.0,0.2,0.5,12.0,,,,0.3,
"Apple, red marshal apple, Yuanshuai, red, ripe, raw",86.3,0.2,0.1,12.5,,,,0.2,
"Apple, red marshal apple, Yuanshuai, red, ripe, raw",85.0,0.2,1.4,12.6,,,,0.3,
"Apple, red marshal apple, Yuanshuai, red, ripe, raw",87.6,0.3,0.5,10.2,,,,0.2,
"Apple, red marshal apple, Yuanshuai, red, ripe, raw",87.3,0.3,0.1,11.2,,,,0.3,
"Apple, red marshal apple, Yuanshuai, red, ripe, raw",84.0,0.1,0.6,14.3,,,,0.4,
"Apple, red marshal apple, Yuanshuai, red, ripe, raw",85.8,0.2,0.2,11.1,,,,0.1,
"Apple, red star apple, Hongxing,ripe,raw",85.0,0.4,0.1,13.5,,,,0.2,
"Apple, red jade apple, Hongyu,ripe,raw",84.7,0.2,0.2,10.0,,,,0.2,
"Apple, banana apple, Qingxiangjiao, banana flavored, green, ripe, raw(average)",86.3,0.3,0.1,11.6,,,,0.2,
"Apple, banana apple, Qingxiangjiao, banana flavored, green, ripe, raw",83.6,0.3,0.1,14.5,,,,0.2,
"Apple, banana apple, Qingxiangjiao, banana flavored, green, ripe, raw",85.8,0.2,,13.0,,,,0.1,
"Apple, banana apple, Qingxiangjiao, banana flavored, green, ripe, raw",87.4,0.2,0.1,9.6,,,,0.1,
"Apple, banana apple, Qingxiangjiao, banana flavored, green, ripe, raw",86.1,0.3,0.1,12.0,,,,0.5,
"Apple, banana apple, Qingxiangjiao, banana flavored, green, ripe, raw",88.7,0.3,0.1,8.7,,,,0.2,
"Apple, Qiulimeng, ripe, raw",87.5,0.2,0.2,8.2,,,,0.2,
"Apple, Indian apple, Yindu, ripe, raw",84.0,0.6,0.2,9.9,,,,0.4,
"Apple, blessing apple, Zhuguang, ripe, raw",86.7,0.4,0.1,11.0,,,,0.3,
"Apple, Wojin, ripe,raw(average)",85.9,0.2,0.2,11.0,,,,0.2,
"Apple, Wojin, ripe,raw",86.3,0.2,0.2,11.4,,,,0.2,
"Apple, Wojin, ripe,raw",85.4,0.1,0.2,10.6,,,,0.2,
"Apple, crabapple, Honghaitang, ripe, raw",79.8,0.3,0.2,17.5,,,,0.4,
"Apple, crabapple, Qiuzi, ripe, raw",80.0,1.3,0.1,16.5,,,,0.4,
"Pear, ba pear, Bali, ripe, raw(average)",86.1,0.4,0.2,10.9,,,,0.4,
"Pear, ba pear, Bali, ripe, raw",86.6,0.2,0.2,10.5,,,,0.4,
"Pear, ba pear, Bali, ripe, raw",85.7,0.6,0.2,11.0,,,,0.3,
"Pear, ba pear, Bali, ripe, raw",86.0,0.3,0.1,11.3,,,,0.6,
"Pear, Bretschneider pear, Jingbai, ripe, raw(average)",85.3,0.2,0.3,12.7,,,,0.3,
"Pear, Bretschneider pear, Jingbai, ripe, raw",86.4,0.2,,11.7,,,,0.3,
"Pear, Bretschneider pear, Jingbai, ripe, raw",84.2,0.1,0.5,13.6,,,,0.3,
"Pear, moon pear, Mingyue, ripe, raw(average)",85.9,0.3,0.2,11.4,,,,0.3,
"Pear, moon pear, Mingyue, ripe, raw",85.9,0.3,0.2,10.2,,,,0.3,
"Pear, moon pear, Mingyue, ripe, raw",85.9,0.3,0.1,12.5,,,,0.3,
"Pear, Sumu, ripe, raw",85.6,0.6,0.3,10.6,,,,0.4,
"Pear, crisp pear, Suli, ripe, raw",88.0,0.3,0.1,10.2,,,,0.2,
"Pear, sour pear, Suanli, ripe, raw",89.6,0.1,0.1,6.1,,,,0.4,
"Pear, snowflower pear, Xuehua, ripe, raw（average）",90.0,0.2,0.1,8.2,,,,0.3,
"Pear, snowflower pear, Xuehua, ripe, raw",92.6,0.1,0.1,5.1,,,,0.1,
"Pear, snowflower pear, Xuehua, ripe, raw",87.3,0.2,,11.2,,,,0.5,
"Pear, Yaguang, ripe, raw",82.4,0.6,0.2,11.4,,,,0.3,
"Peach, celebrate harvest peach, Qingfeng, ripe, raw",88.8,0.6,0.1,9.2,,,,0.4,
"Peach, May fresh peach, Wuyuexian, ripe, raw",89.4,0.4,0.1,9.1,,,,0.1,
"Hummus, commercial",58.7,7.35,17.1,14.9,0.34,5.4,,1.97,"HUMMUS, SABRA CLASSIC"
"Tomatoes, grape, raw",92.5,0.83,0.63,5.51,,2.1,,0.56,"TOMATOES, GRAPE"
"Beans, snap, green, canned, regular pack, drained solids",93.6,1.04,0.39,4.11,1.29,,,0.89,"BEANS, SNAP, CANNED, DRAINED, GREAT VALUE"
"Nuts, almonds, dry roasted, with salt added",2.2,20.4,57.8,16.2,4.17,11.0,,3.47,"ALMONDS, DRY ROASTED, SALTED, STORE BRAND"
"Kale, raw",89.6,2.92,1.49,4.42,0.8,4.1,,1.54,"KALE, FRESH, UNPREPARED"
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",43.4,4.52,14.4,36.3,4.5,2.4,,1.44,"Onion rings, frozen, oven-heated, Store brand/other (AL,MI) - CY1205E"
"Pickles, cucumber, dill or kosher dill",94.7,0.48,0.43,1.99,1.28,1.0,,2.44,"Pickles, kosher dill, spears, VLASIC (IN,NY) - CY120OT"
"Grapefruit juice, white, canned or bottled, unsweetened",90.9,0.55,0.7,7.59,7.72,0.2,,0.29,"GRAPEFRUIT JUICE, WHITE, SHELF STABLE, STORE BRAND"
"Peaches, yellow, raw",88.3,0.91,0.27,10.1,8.39,1.5,,0.43,"Peaches, raw, Region 2, C0009D, Pure Composite"
"Seeds, sunflower seed kernels, dry roasted, with salt added",1.5,21.0,56.1,17.1,3.14,10.3,,4.3,"SUNFLOWER SEEDS, DRY ROASTED, SALTED, STORE/OTHER"
"Kale, frozen, cooked, boiled, drained, without salt",89.8,2.94,1.21,5.3,1.12,,,0.73,"KALE, FROZEN, COOKED"
"Mustard, prepared, yellow",83.7,4.25,3.38,5.3,1.42,4.3,,3.37,"Mustard, yellow, store brand, KROGER (IN1,MI1) - CY120Q4"
"Kiwifruit, green, raw",83.9,1.06,0.44,14.0,8.99,3.0,,0.63,"Kiwi, Region 3, Pure Composite, CY0100W"
"Nectarines, raw",89.0,1.06,0.28,9.18,7.89,1.5,,0.48,"Nectarines, Raw, Pass 2, Region 3, Pure Composite, CY010G6"
"Olives, green, Manzanilla, stuffed with pimiento",76.7,1.15,12.9,4.96,,4.0,,4.29,"OLIVES, GREEN MANZANILLA STUFFED WITH PIMENTOS, MARIO"
"Tomatoes, canned, red, ripe, diced",94.6,0.84,0.5,3.32,2.99,,,0.74,"Tomatoes, diced, canned, STORE BRAND, GREAT VALUE & S&W PREMIUM (AL, CA1) -  CY120AJ"
"Carrots, frozen, unprepared",90.1,0.81,0.47,7.92,4.2,3.2,,0.72,"Carrots, whole, frozen, unprepared, mixed composite, C98197"
"Figs, dried, uncooked",30.0,3.3,0.92,63.9,47.9,9.8,,1.86,"Figs, Pass 2, Region 1, Mixed Composite, CY010GQ"
"Lettuce, cos or romaine, raw",94.7,1.24,0.26,3.24,1.19,1.8,,0.55,"Romaine Lettuce, Pass 2, Pure Composite, CY01083"
"Melons, cantaloupe, raw",90.2,0.82,0.18,8.16,7.88,0.8,,0.63,"Cantaloupe, raw, Region 3, C0009Q, Pure Composite"
"Oranges, raw, navels",86.7,0.91,0.15,11.8,8.57,2.0,,0.43,"Oranges, Navel, Pass 2, Region 2, CY0109W, Yes"
"Pears, raw, bartlett",84.1,0.38,0.16,15.1,9.69,3.1,,0.3,"Pears, Bartlett, Regions 2 & 3, Pure Composite, C0011T"
"Salt, table, iodized",0.42,,,,,,,99.0,"SALT, GREAT VALUE, IODIZED"
"Beans, Dry, Medium Red (0% moisture)",,25.5,1.04,,,4.3,,,"Beans, Dry, Medium Red, 490 (0% moisture)"
"Beans, Dry, Red (0% moisture)",,21.3,1.16,,,4.0,,,"Beans, Dry, Red, 645 (0% moisture)"
